Paper,Table,Time,Experiment,Culture,Species,Individuals,Treatment
Gause_1934_book_app,5,0,1,1,Stylonychia pustulata,2,Monoculture
Gause_1934_book_app,5,2,1,1,Stylonychia pustulata,7,Monoculture
Gause_1934_book_app,5,3,1,1,Stylonychia pustulata,18,Monoculture
Gause_1934_book_app,5,4,1,1,Stylonychia pustulata,39,Monoculture
Gause_1934_book_app,5,5,1,1,Stylonychia pustulata,47,Monoculture
Gause_1934_book_app,5,6,1,1,Stylonychia pustulata,66,Monoculture
Gause_1934_book_app,5,7,1,1,Stylonychia pustulata,72,Monoculture
Gause_1934_book_app,5,8,1,1,Stylonychia pustulata,51,Monoculture
Gause_1934_book_app,5,9,1,1,Stylonychia pustulata,46,Monoculture
Gause_1934_book_app,5,10,1,1,Stylonychia pustulata,74,Monoculture
Gause_1934_book_app,5,11,1,1,Stylonychia pustulata,63,Monoculture
Gause_1934_book_app,5,12,1,1,Stylonychia pustulata,49,Monoculture
Gause_1934_book_app,5,13,1,1,Stylonychia pustulata,54,Monoculture
Gause_1934_book_app,5,14,1,1,Stylonychia pustulata,27,Monoculture
Gause_1934_book_app,5,15,1,1,Stylonychia pustulata,51,Monoculture
Gause_1934_book_app,5,16,1,1,Stylonychia pustulata,36,Monoculture
Gause_1934_book_app,5,17,1,1,Stylonychia pustulata,,Monoculture
Gause_1934_book_app,5,18,1,1,Stylonychia pustulata,,Monoculture
Gause_1934_book_app,5,19,1,1,Stylonychia pustulata,,Monoculture
Gause_1934_book_app,5,20,1,1,Stylonychia pustulata,,Monoculture
Gause_1934_book_app,5,21,1,1,Stylonychia pustulata,,Monoculture
Gause_1934_book_app,5,22,1,1,Stylonychia pustulata,,Monoculture
Gause_1934_book_app,5,23,1,1,Stylonychia pustulata,,Monoculture
Gause_1934_book_app,5,24,1,1,Stylonychia pustulata,,Monoculture
Gause_1934_book_app,5,25,1,1,Stylonychia pustulata,,Monoculture
Gause_1934_book_app,5,0,1,2,Stylonychia pustulata,2,Monoculture
Gause_1934_book_app,5,2,1,2,Stylonychia pustulata,2,Monoculture
Gause_1934_book_app,5,3,1,2,Stylonychia pustulata,14,Monoculture
Gause_1934_book_app,5,4,1,2,Stylonychia pustulata,59,Monoculture
Gause_1934_book_app,5,5,1,2,Stylonychia pustulata,92,Monoculture
Gause_1934_book_app,5,6,1,2,Stylonychia pustulata,97,Monoculture
Gause_1934_book_app,5,7,1,2,Stylonychia pustulata,78,Monoculture
Gause_1934_book_app,5,8,1,2,Stylonychia pustulata,64,Monoculture
Gause_1934_book_app,5,9,1,2,Stylonychia pustulata,62,Monoculture
Gause_1934_book_app,5,10,1,2,Stylonychia pustulata,64,Monoculture
Gause_1934_book_app,5,11,1,2,Stylonychia pustulata,48,Monoculture
Gause_1934_book_app,5,12,1,2,Stylonychia pustulata,33,Monoculture
Gause_1934_book_app,5,13,1,2,Stylonychia pustulata,30,Monoculture
Gause_1934_book_app,5,14,1,2,Stylonychia pustulata,43,Monoculture
Gause_1934_book_app,5,15,1,2,Stylonychia pustulata,45,Monoculture
Gause_1934_book_app,5,16,1,2,Stylonychia pustulata,25,Monoculture
Gause_1934_book_app,5,17,1,2,Stylonychia pustulata,55,Monoculture
Gause_1934_book_app,5,18,1,2,Stylonychia pustulata,57,Monoculture
Gause_1934_book_app,5,19,1,2,Stylonychia pustulata,52,Monoculture
Gause_1934_book_app,5,20,1,2,Stylonychia pustulata,,Monoculture
Gause_1934_book_app,5,21,1,2,Stylonychia pustulata,,Monoculture
Gause_1934_book_app,5,22,1,2,Stylonychia pustulata,,Monoculture
Gause_1934_book_app,5,23,1,2,Stylonychia pustulata,,Monoculture
Gause_1934_book_app,5,24,1,2,Stylonychia pustulata,,Monoculture
Gause_1934_book_app,5,25,1,2,Stylonychia pustulata,,Monoculture
Gause_1934_book_app,5,0,1,3,Stylonychia pustulata,2,Monoculture
Gause_1934_book_app,5,2,1,3,Stylonychia pustulata,12,Monoculture
Gause_1934_book_app,5,3,1,3,Stylonychia pustulata,38,Monoculture
Gause_1934_book_app,5,4,1,3,Stylonychia pustulata,64,Monoculture
Gause_1934_book_app,5,5,1,3,Stylonychia pustulata,74,Monoculture
Gause_1934_book_app,5,6,1,3,Stylonychia pustulata,70,Monoculture
Gause_1934_book_app,5,7,1,3,Stylonychia pustulata,64,Monoculture
Gause_1934_book_app,5,8,1,3,Stylonychia pustulata,20,Monoculture
Gause_1934_book_app,5,9,1,3,Stylonychia pustulata,41,Monoculture
Gause_1934_book_app,5,10,1,3,Stylonychia pustulata,34,Monoculture
Gause_1934_book_app,5,11,1,3,Stylonychia pustulata,21,Monoculture
Gause_1934_book_app,5,12,1,3,Stylonychia pustulata,34,Monoculture
Gause_1934_book_app,5,13,1,3,Stylonychia pustulata,24,Monoculture
Gause_1934_book_app,5,14,1,3,Stylonychia pustulata,35,Monoculture
Gause_1934_book_app,5,15,1,3,Stylonychia pustulata,22,Monoculture
Gause_1934_book_app,5,16,1,3,Stylonychia pustulata,30,Monoculture
Gause_1934_book_app,5,17,1,3,Stylonychia pustulata,30,Monoculture
Gause_1934_book_app,5,18,1,3,Stylonychia pustulata,28,Monoculture
Gause_1934_book_app,5,19,1,3,Stylonychia pustulata,44,Monoculture
Gause_1934_book_app,5,20,1,3,Stylonychia pustulata,,Monoculture
Gause_1934_book_app,5,21,1,3,Stylonychia pustulata,,Monoculture
Gause_1934_book_app,5,22,1,3,Stylonychia pustulata,,Monoculture
Gause_1934_book_app,5,23,1,3,Stylonychia pustulata,,Monoculture
Gause_1934_book_app,5,24,1,3,Stylonychia pustulata,,Monoculture
Gause_1934_book_app,5,25,1,3,Stylonychia pustulata,,Monoculture
Gause_1934_book_app,5,0,1,4,Stylonychia pustulata,2,Monoculture
Gause_1934_book_app,5,2,1,4,Stylonychia pustulata,26,Monoculture
Gause_1934_book_app,5,3,1,4,Stylonychia pustulata,59,Monoculture
Gause_1934_book_app,5,4,1,4,Stylonychia pustulata,93,Monoculture
Gause_1934_book_app,5,5,1,4,Stylonychia pustulata,90,Monoculture
Gause_1934_book_app,5,6,1,4,Stylonychia pustulata,70,Monoculture
Gause_1934_book_app,5,7,1,4,Stylonychia pustulata,55,Monoculture
Gause_1934_book_app,5,8,1,4,Stylonychia pustulata,34,Monoculture
Gause_1934_book_app,5,9,1,4,Stylonychia pustulata,39,Monoculture
Gause_1934_book_app,5,10,1,4,Stylonychia pustulata,35,Monoculture
Gause_1934_book_app,5,11,1,4,Stylonychia pustulata,37,Monoculture
Gause_1934_book_app,5,12,1,4,Stylonychia pustulata,43,Monoculture
Gause_1934_book_app,5,13,1,4,Stylonychia pustulata,41,Monoculture
Gause_1934_book_app,5,14,1,4,Stylonychia pustulata,47,Monoculture
Gause_1934_book_app,5,15,1,4,Stylonychia pustulata,34,Monoculture
Gause_1934_book_app,5,16,1,4,Stylonychia pustulata,40,Monoculture
Gause_1934_book_app,5,17,1,4,Stylonychia pustulata,31,Monoculture
Gause_1934_book_app,5,18,1,4,Stylonychia pustulata,30,Monoculture
Gause_1934_book_app,5,19,1,4,Stylonychia pustulata,62,Monoculture
Gause_1934_book_app,5,20,1,4,Stylonychia pustulata,,Monoculture
Gause_1934_book_app,5,21,1,4,Stylonychia pustulata,,Monoculture
Gause_1934_book_app,5,22,1,4,Stylonychia pustulata,,Monoculture
Gause_1934_book_app,5,23,1,4,Stylonychia pustulata,,Monoculture
Gause_1934_book_app,5,24,1,4,Stylonychia pustulata,,Monoculture
Gause_1934_book_app,5,25,1,4,Stylonychia pustulata,,Monoculture
Gause_1934_book_app,5,0,1,5,Stylonychia pustulata,2,Monoculture
Gause_1934_book_app,5,2,1,5,Stylonychia pustulata,11,Monoculture
Gause_1934_book_app,5,3,1,5,Stylonychia pustulata,57,Monoculture
Gause_1934_book_app,5,4,1,5,Stylonychia pustulata,73,Monoculture
Gause_1934_book_app,5,5,1,5,Stylonychia pustulata,68,Monoculture
Gause_1934_book_app,5,6,1,5,Stylonychia pustulata,77,Monoculture
Gause_1934_book_app,5,7,1,5,Stylonychia pustulata,40,Monoculture
Gause_1934_book_app,5,8,1,5,Stylonychia pustulata,28,Monoculture
Gause_1934_book_app,5,9,1,5,Stylonychia pustulata,37,Monoculture
Gause_1934_book_app,5,10,1,5,Stylonychia pustulata,45,Monoculture
Gause_1934_book_app,5,11,1,5,Stylonychia pustulata,34,Monoculture
Gause_1934_book_app,5,12,1,5,Stylonychia pustulata,38,Monoculture
Gause_1934_book_app,5,13,1,5,Stylonychia pustulata,42,Monoculture
Gause_1934_book_app,5,14,1,5,Stylonychia pustulata,44,Monoculture
Gause_1934_book_app,5,15,1,5,Stylonychia pustulata,38,Monoculture
Gause_1934_book_app,5,16,1,5,Stylonychia pustulata,36,Monoculture
Gause_1934_book_app,5,17,1,5,Stylonychia pustulata,47,Monoculture
Gause_1934_book_app,5,18,1,5,Stylonychia pustulata,55,Monoculture
Gause_1934_book_app,5,19,1,5,Stylonychia pustulata,66,Monoculture
Gause_1934_book_app,5,20,1,5,Stylonychia pustulata,,Monoculture
Gause_1934_book_app,5,21,1,5,Stylonychia pustulata,,Monoculture
Gause_1934_book_app,5,22,1,5,Stylonychia pustulata,,Monoculture
Gause_1934_book_app,5,23,1,5,Stylonychia pustulata,,Monoculture
Gause_1934_book_app,5,24,1,5,Stylonychia pustulata,,Monoculture
Gause_1934_book_app,5,25,1,5,Stylonychia pustulata,,Monoculture
Gause_1934_book_app,5,0,1,Mean,Stylonychia pustulata,2,Monoculture
Gause_1934_book_app,5,2,1,Mean,Stylonychia pustulata,12,Monoculture
Gause_1934_book_app,5,3,1,Mean,Stylonychia pustulata,37,Monoculture
Gause_1934_book_app,5,4,1,Mean,Stylonychia pustulata,66,Monoculture
Gause_1934_book_app,5,5,1,Mean,Stylonychia pustulata,74,Monoculture
Gause_1934_book_app,5,6,1,Mean,Stylonychia pustulata,76,Monoculture
Gause_1934_book_app,5,7,1,Mean,Stylonychia pustulata,62,Monoculture
Gause_1934_book_app,5,8,1,Mean,Stylonychia pustulata,39,Monoculture
Gause_1934_book_app,5,9,1,Mean,Stylonychia pustulata,45,Monoculture
Gause_1934_book_app,5,10,1,Mean,Stylonychia pustulata,50,Monoculture
Gause_1934_book_app,5,11,1,Mean,Stylonychia pustulata,41,Monoculture
Gause_1934_book_app,5,12,1,Mean,Stylonychia pustulata,39,Monoculture
Gause_1934_book_app,5,13,1,Mean,Stylonychia pustulata,38,Monoculture
Gause_1934_book_app,5,14,1,Mean,Stylonychia pustulata,39,Monoculture
Gause_1934_book_app,5,15,1,Mean,Stylonychia pustulata,38,Monoculture
Gause_1934_book_app,5,16,1,Mean,Stylonychia pustulata,33,Monoculture
Gause_1934_book_app,5,17,1,Mean,Stylonychia pustulata,41,Monoculture
Gause_1934_book_app,5,18,1,Mean,Stylonychia pustulata,43,Monoculture
Gause_1934_book_app,5,19,1,Mean,Stylonychia pustulata,56,Monoculture
Gause_1934_book_app,5,20,1,Mean,Stylonychia pustulata,54,Monoculture
Gause_1934_book_app,5,21,1,Mean,Stylonychia pustulata,34,Monoculture
Gause_1934_book_app,5,22,1,Mean,Stylonychia pustulata,32,Monoculture
Gause_1934_book_app,5,23,1,Mean,Stylonychia pustulata,36,Monoculture
Gause_1934_book_app,5,24,1,Mean,Stylonychia pustulata,40,Monoculture
Gause_1934_book_app,5,25,1,Mean,Stylonychia pustulata,41,Monoculture
Gause_1934_book_app,5,0,2,1,Stylonychia pustulata,2,Mixture P. aurelia
Gause_1934_book_app,5,2,2,1,Stylonychia pustulata,1,Mixture P. aurelia
Gause_1934_book_app,5,3,2,1,Stylonychia pustulata,10,Mixture P. aurelia
Gause_1934_book_app,5,4,2,1,Stylonychia pustulata,23,Mixture P. aurelia
Gause_1934_book_app,5,5,2,1,Stylonychia pustulata,50,Mixture P. aurelia
Gause_1934_book_app,5,6,2,1,Stylonychia pustulata,45,Mixture P. aurelia
Gause_1934_book_app,5,7,2,1,Stylonychia pustulata,51,Mixture P. aurelia
Gause_1934_book_app,5,8,2,1,Stylonychia pustulata,48,Mixture P. aurelia
Gause_1934_book_app,5,9,2,1,Stylonychia pustulata,40,Mixture P. aurelia
Gause_1934_book_app,5,10,2,1,Stylonychia pustulata,40,Mixture P. aurelia
Gause_1934_book_app,5,11,2,1,Stylonychia pustulata,20,Mixture P. aurelia
Gause_1934_book_app,5,12,2,1,Stylonychia pustulata,10,Mixture P. aurelia
Gause_1934_book_app,5,13,2,1,Stylonychia pustulata,25,Mixture P. aurelia
Gause_1934_book_app,5,14,2,1,Stylonychia pustulata,10,Mixture P. aurelia
Gause_1934_book_app,5,15,2,1,Stylonychia pustulata,25,Mixture P. aurelia
Gause_1934_book_app,5,16,2,1,Stylonychia pustulata,10,Mixture P. aurelia
Gause_1934_book_app,5,17,2,1,Stylonychia pustulata,25,Mixture P. aurelia
Gause_1934_book_app,5,18,2,1,Stylonychia pustulata,20,Mixture P. aurelia
Gause_1934_book_app,5,19,2,1,Stylonychia pustulata,5,Mixture P. aurelia
Gause_1934_book_app,5,20,2,1,Stylonychia pustulata,,Mixture P. aurelia
Gause_1934_book_app,5,21,2,1,Stylonychia pustulata,,Mixture P. aurelia
Gause_1934_book_app,5,22,2,1,Stylonychia pustulata,,Mixture P. aurelia
Gause_1934_book_app,5,23,2,1,Stylonychia pustulata,,Mixture P. aurelia
Gause_1934_book_app,5,24,2,1,Stylonychia pustulata,,Mixture P. aurelia
Gause_1934_book_app,5,25,2,1,Stylonychia pustulata,,Mixture P. aurelia
Gause_1934_book_app,5,0,2,2,Stylonychia pustulata,2,Mixture P. aurelia
Gause_1934_book_app,5,2,2,2,Stylonychia pustulata,16,Mixture P. aurelia
Gause_1934_book_app,5,3,2,2,Stylonychia pustulata,32,Mixture P. aurelia
Gause_1934_book_app,5,4,2,2,Stylonychia pustulata,40,Mixture P. aurelia
Gause_1934_book_app,5,5,2,2,Stylonychia pustulata,64,Mixture P. aurelia
Gause_1934_book_app,5,6,2,2,Stylonychia pustulata,75,Mixture P. aurelia
Gause_1934_book_app,5,7,2,2,Stylonychia pustulata,40,Mixture P. aurelia
Gause_1934_book_app,5,8,2,2,Stylonychia pustulata,36,Mixture P. aurelia
Gause_1934_book_app,5,9,2,2,Stylonychia pustulata,30,Mixture P. aurelia
Gause_1934_book_app,5,10,2,2,Stylonychia pustulata,20,Mixture P. aurelia
Gause_1934_book_app,5,11,2,2,Stylonychia pustulata,20,Mixture P. aurelia
Gause_1934_book_app,5,12,2,2,Stylonychia pustulata,20,Mixture P. aurelia
Gause_1934_book_app,5,13,2,2,Stylonychia pustulata,5,Mixture P. aurelia
Gause_1934_book_app,5,14,2,2,Stylonychia pustulata,5,Mixture P. aurelia
Gause_1934_book_app,5,15,2,2,Stylonychia pustulata,10,Mixture P. aurelia
Gause_1934_book_app,5,16,2,2,Stylonychia pustulata,5,Mixture P. aurelia
Gause_1934_book_app,5,17,2,2,Stylonychia pustulata,5,Mixture P. aurelia
Gause_1934_book_app,5,18,2,2,Stylonychia pustulata,0,Mixture P. aurelia
Gause_1934_book_app,5,19,2,2,Stylonychia pustulata,0,Mixture P. aurelia
Gause_1934_book_app,5,20,2,2,Stylonychia pustulata,,Mixture P. aurelia
Gause_1934_book_app,5,21,2,2,Stylonychia pustulata,,Mixture P. aurelia
Gause_1934_book_app,5,22,2,2,Stylonychia pustulata,,Mixture P. aurelia
Gause_1934_book_app,5,23,2,2,Stylonychia pustulata,,Mixture P. aurelia
Gause_1934_book_app,5,24,2,2,Stylonychia pustulata,,Mixture P. aurelia
Gause_1934_book_app,5,25,2,2,Stylonychia pustulata,,Mixture P. aurelia
Gause_1934_book_app,5,0,2,3,Stylonychia pustulata,2,Mixture P. aurelia
Gause_1934_book_app,5,2,2,3,Stylonychia pustulata,14,Mixture P. aurelia
Gause_1934_book_app,5,3,2,3,Stylonychia pustulata,46,Mixture P. aurelia
Gause_1934_book_app,5,4,2,3,Stylonychia pustulata,50,Mixture P. aurelia
Gause_1934_book_app,5,5,2,3,Stylonychia pustulata,56,Mixture P. aurelia
Gause_1934_book_app,5,6,2,3,Stylonychia pustulata,57,Mixture P. aurelia
Gause_1934_book_app,5,7,2,3,Stylonychia pustulata,28,Mixture P. aurelia
Gause_1934_book_app,5,8,2,3,Stylonychia pustulata,42,Mixture P. aurelia
Gause_1934_book_app,5,9,2,3,Stylonychia pustulata,35,Mixture P. aurelia
Gause_1934_book_app,5,10,2,3,Stylonychia pustulata,34,Mixture P. aurelia
Gause_1934_book_app,5,11,2,3,Stylonychia pustulata,5,Mixture P. aurelia
Gause_1934_book_app,5,12,2,3,Stylonychia pustulata,20,Mixture P. aurelia
Gause_1934_book_app,5,13,2,3,Stylonychia pustulata,20,Mixture P. aurelia
Gause_1934_book_app,5,14,2,3,Stylonychia pustulata,15,Mixture P. aurelia
Gause_1934_book_app,5,15,2,3,Stylonychia pustulata,0,Mixture P. aurelia
Gause_1934_book_app,5,16,2,3,Stylonychia pustulata,15,Mixture P. aurelia
Gause_1934_book_app,5,17,2,3,Stylonychia pustulata,5,Mixture P. aurelia
Gause_1934_book_app,5,18,2,3,Stylonychia pustulata,5,Mixture P. aurelia
Gause_1934_book_app,5,19,2,3,Stylonychia pustulata,0,Mixture P. aurelia
Gause_1934_book_app,5,20,2,3,Stylonychia pustulata,,Mixture P. aurelia
Gause_1934_book_app,5,21,2,3,Stylonychia pustulata,,Mixture P. aurelia
Gause_1934_book_app,5,22,2,3,Stylonychia pustulata,,Mixture P. aurelia
Gause_1934_book_app,5,23,2,3,Stylonychia pustulata,,Mixture P. aurelia
Gause_1934_book_app,5,24,2,3,Stylonychia pustulata,,Mixture P. aurelia
Gause_1934_book_app,5,25,2,3,Stylonychia pustulata,,Mixture P. aurelia
Gause_1934_book_app,5,0,2,4,Stylonychia pustulata,2,Mixture P. aurelia
Gause_1934_book_app,5,2,2,4,Stylonychia pustulata,14,Mixture P. aurelia
Gause_1934_book_app,5,3,2,4,Stylonychia pustulata,46,Mixture P. aurelia
Gause_1934_book_app,5,4,2,4,Stylonychia pustulata,50,Mixture P. aurelia
Gause_1934_book_app,5,5,2,4,Stylonychia pustulata,56,Mixture P. aurelia
Gause_1934_book_app,5,6,2,4,Stylonychia pustulata,57,Mixture P. aurelia
Gause_1934_book_app,5,7,2,4,Stylonychia pustulata,28,Mixture P. aurelia
Gause_1934_book_app,5,8,2,4,Stylonychia pustulata,42,Mixture P. aurelia
Gause_1934_book_app,5,9,2,4,Stylonychia pustulata,35,Mixture P. aurelia
Gause_1934_book_app,5,10,2,4,Stylonychia pustulata,34,Mixture P. aurelia
Gause_1934_book_app,5,11,2,4,Stylonychia pustulata,5,Mixture P. aurelia
Gause_1934_book_app,5,12,2,4,Stylonychia pustulata,20,Mixture P. aurelia
Gause_1934_book_app,5,13,2,4,Stylonychia pustulata,20,Mixture P. aurelia
Gause_1934_book_app,5,14,2,4,Stylonychia pustulata,15,Mixture P. aurelia
Gause_1934_book_app,5,15,2,4,Stylonychia pustulata,0,Mixture P. aurelia
Gause_1934_book_app,5,16,2,4,Stylonychia pustulata,15,Mixture P. aurelia
Gause_1934_book_app,5,17,2,4,Stylonychia pustulata,5,Mixture P. aurelia
Gause_1934_book_app,5,18,2,4,Stylonychia pustulata,5,Mixture P. aurelia
Gause_1934_book_app,5,19,2,4,Stylonychia pustulata,0,Mixture P. aurelia
Gause_1934_book_app,5,20,2,4,Stylonychia pustulata,,Mixture P. aurelia
Gause_1934_book_app,5,21,2,4,Stylonychia pustulata,,Mixture P. aurelia
Gause_1934_book_app,5,22,2,4,Stylonychia pustulata,,Mixture P. aurelia
Gause_1934_book_app,5,23,2,4,Stylonychia pustulata,,Mixture P. aurelia
Gause_1934_book_app,5,24,2,4,Stylonychia pustulata,,Mixture P. aurelia
Gause_1934_book_app,5,25,2,4,Stylonychia pustulata,,Mixture P. aurelia
Gause_1934_book_app,5,0,2,Mean,Stylonychia pustulata,2,Mixture P. aurelia
Gause_1934_book_app,5,2,2,Mean,Stylonychia pustulata,10,Mixture P. aurelia
Gause_1934_book_app,5,3,2,Mean,Stylonychia pustulata,29,Mixture P. aurelia
Gause_1934_book_app,5,4,2,Mean,Stylonychia pustulata,38,Mixture P. aurelia
Gause_1934_book_app,5,5,2,Mean,Stylonychia pustulata,57,Mixture P. aurelia
Gause_1934_book_app,5,6,2,Mean,Stylonychia pustulata,59,Mixture P. aurelia
Gause_1934_book_app,5,7,2,Mean,Stylonychia pustulata,40,Mixture P. aurelia
Gause_1934_book_app,5,8,2,Mean,Stylonychia pustulata,42,Mixture P. aurelia
Gause_1934_book_app,5,9,2,Mean,Stylonychia pustulata,35,Mixture P. aurelia
Gause_1934_book_app,5,10,2,Mean,Stylonychia pustulata,28,Mixture P. aurelia
Gause_1934_book_app,5,11,2,Mean,Stylonychia pustulata,15,Mixture P. aurelia
Gause_1934_book_app,5,12,2,Mean,Stylonychia pustulata,17,Mixture P. aurelia
Gause_1934_book_app,5,13,2,Mean,Stylonychia pustulata,17,Mixture P. aurelia
Gause_1934_book_app,5,14,2,Mean,Stylonychia pustulata,10,Mixture P. aurelia
Gause_1934_book_app,5,15,2,Mean,Stylonychia pustulata,12,Mixture P. aurelia
Gause_1934_book_app,5,16,2,Mean,Stylonychia pustulata,10,Mixture P. aurelia
Gause_1934_book_app,5,17,2,Mean,Stylonychia pustulata,12,Mixture P. aurelia
Gause_1934_book_app,5,18,2,Mean,Stylonychia pustulata,8,Mixture P. aurelia
Gause_1934_book_app,5,19,2,Mean,Stylonychia pustulata,2,Mixture P. aurelia
Gause_1934_book_app,5,20,2,Mean,Stylonychia pustulata,0,Mixture P. aurelia
Gause_1934_book_app,5,21,2,Mean,Stylonychia pustulata,0,Mixture P. aurelia
Gause_1934_book_app,5,22,2,Mean,Stylonychia pustulata,5,Mixture P. aurelia
Gause_1934_book_app,5,23,2,Mean,Stylonychia pustulata,0,Mixture P. aurelia
Gause_1934_book_app,5,24,2,Mean,Stylonychia pustulata,0,Mixture P. aurelia
Gause_1934_book_app,5,25,2,Mean,Stylonychia pustulata,0,Mixture P. aurelia
Gause_1934_book_app,5,0,2,1,Paramecium aurelia,2,Mixture P. aurelia
Gause_1934_book_app,5,2,2,1,Paramecium aurelia,9,Mixture P. aurelia
Gause_1934_book_app,5,3,2,1,Paramecium aurelia,12,Mixture P. aurelia
Gause_1934_book_app,5,4,2,1,Paramecium aurelia,76,Mixture P. aurelia
Gause_1934_book_app,5,5,2,1,Paramecium aurelia,72,Mixture P. aurelia
Gause_1934_book_app,5,6,2,1,Paramecium aurelia,180,Mixture P. aurelia
Gause_1934_book_app,5,7,2,1,Paramecium aurelia,249,Mixture P. aurelia
Gause_1934_book_app,5,8,2,1,Paramecium aurelia,400,Mixture P. aurelia
Gause_1934_book_app,5,9,2,1,Paramecium aurelia,370,Mixture P. aurelia
Gause_1934_book_app,5,10,2,1,Paramecium aurelia,445,Mixture P. aurelia
Gause_1934_book_app,5,11,2,1,Paramecium aurelia,525,Mixture P. aurelia
Gause_1934_book_app,5,12,2,1,Paramecium aurelia,505,Mixture P. aurelia
Gause_1934_book_app,5,13,2,1,Paramecium aurelia,550,Mixture P. aurelia
Gause_1934_book_app,5,14,2,1,Paramecium aurelia,390,Mixture P. aurelia
Gause_1934_book_app,5,15,2,1,Paramecium aurelia,535,Mixture P. aurelia
Gause_1934_book_app,5,16,2,1,Paramecium aurelia,505,Mixture P. aurelia
Gause_1934_book_app,5,17,2,1,Paramecium aurelia,600,Mixture P. aurelia
Gause_1934_book_app,5,18,2,1,Paramecium aurelia,400,Mixture P. aurelia
Gause_1934_book_app,5,19,2,1,Paramecium aurelia,550,Mixture P. aurelia
