Paper,Figure,Species,Weeks,Individuals,Treatment
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),1,51.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),2,153.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),3,210.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),4,111.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),5,101.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),6,124.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),7,195.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),8,202.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),9,151.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),10,106.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),11,200.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),12,314.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),13,384.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),14,392.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),15,483.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),16,559.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),17,561.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),18,631.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),19,715.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),20,699.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),21,748.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),22,733.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),23,974.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),24,788.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),25,629.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),26,325.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),27,247.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),28,268.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),29,253.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),30,266.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),31,375.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),32,577.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),33,466.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),34,336.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),35,196.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),36,209.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),37,266.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),38,266.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),39,786.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),40,817.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),41,786.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),42,1251.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),43,905.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),44,594.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),45,383.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),46,277.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),47,274.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),48,124.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),49,173.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),50,316.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),51,352.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),52,607.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),53,726.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),54,558.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),55,498.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),56,360.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),57,246.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),58,77.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),59,119.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),60,77.0,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),1,,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),2,,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),3,1.1500000000000001,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),4,2.4000000000000004,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),5,1.875,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),6,0.9,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),7,2.45,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),8,0.775,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),9,0.375,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),10,0.7000000000000001,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),11,0.125,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),12,0.45,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),13,0.07500000000000001,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),14,0.125,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),15,0.2,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),16,0.6000000000000001,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),17,1.375,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),18,1.8250000000000002,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),19,2.8000000000000003,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),20,4.55,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),21,4.425,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),22,6.45,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),23,9.425,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),24,14.75,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),25,16.05,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),26,10.4,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),27,5.525,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),28,4.175,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),29,4.425,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),30,2.35,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),31,5.15,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),32,9.375,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),33,11.05,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),34,13.525,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),35,5.550000000000001,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),36,5.925000000000001,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),37,1.5250000000000001,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),38,1.125,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),39,2.5500000000000003,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),40,4.375,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),41,10.675,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),42,15.675,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),43,20.025000000000002,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),44,14.525,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),45,13.275,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),46,8.15,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),47,7.9,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),48,5.7,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),49,2.9000000000000004,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),50,2.45,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),51,2.0500000000000003,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),52,2.45,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),53,14.65,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),54,14.725000000000001,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),55,10.425,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),56,12.575000000000001,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),57,6.15,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),58,2.9000000000000004,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),59,1.0250000000000001,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),60,0.7000000000000001,60 weeks
Huffaker_1963,4b,Prey (Eotetranychus sexmaculatus),1,98.0,24 weeks
Huffaker_1963,4b,Prey (Eotetranychus sexmaculatus),2,612.0,24 weeks
Huffaker_1963,4b,Prey (Eotetranychus sexmaculatus),3,916.0,24 weeks
Huffaker_1963,4b,Prey (Eotetranychus sexmaculatus),4,303.0,24 weeks
Huffaker_1963,4b,Prey (Eotetranychus sexmaculatus),5,355.0,24 weeks
Huffaker_1963,4b,Prey (Eotetranychus sexmaculatus),6,376.0,24 weeks
Huffaker_1963,4b,Prey (Eotetranychus sexmaculatus),7,159.0,24 weeks
Huffaker_1963,4b,Prey (Eotetranychus sexmaculatus),8,140.0,24 weeks
Huffaker_1963,4b,Prey (Eotetranychus sexmaculatus),9,149.0,24 weeks
Huffaker_1963,4b,Prey (Eotetranychus sexmaculatus),10,198.0,24 weeks
Huffaker_1963,4b,Prey (Eotetranychus sexmaculatus),11,237.0,24 weeks
Huffaker_1963,4b,Prey (Eotetranychus sexmaculatus),12,422.0,24 weeks
Huffaker_1963,4b,Prey (Eotetranychus sexmaculatus),13,648.0,24 weeks
Huffaker_1963,4b,Prey (Eotetranychus sexmaculatus),14,1106.0,24 weeks
Huffaker_1963,4b,Prey (Eotetranychus sexmaculatus),15,1358.0,24 weeks
Huffaker_1963,4b,Prey (Eotetranychus sexmaculatus),16,1233.0,24 weeks
Huffaker_1963,4b,Prey (Eotetranychus sexmaculatus),17,603.0,24 weeks
Huffaker_1963,4b,Prey (Eotetranychus sexmaculatus),18,259.0,24 weeks
Huffaker_1963,4b,Prey (Eotetranychus sexmaculatus),19,225.0,24 weeks
Huffaker_1963,4b,Prey (Eotetranychus sexmaculatus),20,264.0,24 weeks
Huffaker_1963,4b,Prey (Eotetranychus sexmaculatus),21,219.0,24 weeks
Huffaker_1963,4b,Prey (Eotetranychus sexmaculatus),22,180.0,24 weeks
Huffaker_1963,4b,Prey (Eotetranychus sexmaculatus),23,227.0,24 weeks
Huffaker_1963,4b,Prey (Eotetranychus sexmaculatus),24,182.0,24 weeks
Huffaker_1963,4b,Predator (Typhlodromus occidentalis),1,,24 weeks
Huffaker_1963,4b,Predator (Typhlodromus occidentalis),2,2.725,24 weeks
Huffaker_1963,4b,Predator (Typhlodromus occidentalis),3,13.875,24 weeks
Huffaker_1963,4b,Predator (Typhlodromus occidentalis),4,21.025000000000002,24 weeks
Huffaker_1963,4b,Predator (Typhlodromus occidentalis),5,11.125,24 weeks
Huffaker_1963,4b,Predator (Typhlodromus occidentalis),6,9.9,24 weeks
Huffaker_1963,4b,Predator (Typhlodromus occidentalis),7,5.800000000000001,24 weeks
Huffaker_1963,4b,Predator (Typhlodromus occidentalis),8,1.0250000000000001,24 weeks
Huffaker_1963,4b,Predator (Typhlodromus occidentalis),9,2.275,24 weeks
Huffaker_1963,4b,Predator (Typhlodromus occidentalis),10,1.7750000000000001,24 weeks
Huffaker_1963,4b,Predator (Typhlodromus occidentalis),11,2.6500000000000004,24 weeks
Huffaker_1963,4b,Predator (Typhlodromus occidentalis),12,0.65,24 weeks
Huffaker_1963,4b,Predator (Typhlodromus occidentalis),13,0.025,24 weeks
Huffaker_1963,4b,Predator (Typhlodromus occidentalis),14,2.4250000000000003,24 weeks
Huffaker_1963,4b,Predator (Typhlodromus occidentalis),15,5.4,24 weeks
Huffaker_1963,4b,Predator (Typhlodromus occidentalis),16,10.4,24 weeks
Huffaker_1963,4b,Predator (Typhlodromus occidentalis),17,13.4,24 weeks
Huffaker_1963,4b,Predator (Typhlodromus occidentalis),18,17.975,24 weeks
Huffaker_1963,4b,Predator (Typhlodromus occidentalis),19,3.25,24 weeks
Huffaker_1963,4b,Predator (Typhlodromus occidentalis),20,3.25,24 weeks
Huffaker_1963,4b,Predator (Typhlodromus occidentalis),21,1.925,24 weeks
Huffaker_1963,4b,Predator (Typhlodromus occidentalis),22,0.9500000000000001,24 weeks
Huffaker_1963,4b,Predator (Typhlodromus occidentalis),23,0.0,24 weeks
Huffaker_1963,4b,Predator (Typhlodromus occidentalis),24,0.0,24 weeks
